benchmark                                        old ns/op     new ns/op     delta

BenchmarkAllGlobMatch-4                          519           1024          +97.30%
BenchmarkMultipleGlobMatch-4                     123           218           +77.24%
BenchmarkAlternativesGlobMatch-4                 164           283           +72.56%
BenchmarkAlternativesSuffixFirstGlobMatch-4      23.6          23.5          -0.42%
BenchmarkAlternativesSuffixSecondGlobMatch-4     29.7          30.1          +1.35%
BenchmarkAlternativesCombineLiteGlobMatch-4      161           352           +118.63%
BenchmarkAlternativesCombineHardGlobMatch-4      321           649           +102.18%
BenchmarkPlainGlobMatch-4                        7.17          7.09          -1.12%
BenchmarkPrefixGlobMatch-4                       8.74          8.64          -1.14%
BenchmarkSuffixGlobMatch-4                       10.3          9.06          -12.04%
BenchmarkPrefixSuffixGlobMatch-4                 31.0          15.1          -51.29%
BenchmarkIndexAny-4                              1414          232           -83.59%
BenchmarkIndexContains-4                         557           250           -55.12%
BenchmarkIndexList-4                             207           42.6          -79.42%
BenchmarkIndexMax-4                              630           111           -82.38%
BenchmarkIndexMin-4                              515           328           -36.31%
BenchmarkIndexPrefixSuffix-4                     97.9          86.2          -11.95%
BenchmarkIndexPrefix-4                           86.1          84.0          -2.44%
BenchmarkIndexRange-4                            181           144           -20.44%
BenchmarkRowIndex-4                              185           127           -31.35%
BenchmarkIndexSingle-4                           82.6          16.0          -80.63%
BenchmarkIndexSuffix-4                           85.5          84.9          -0.70%
BenchmarkIndexSuper-4                            450           196           -56.44%
BenchmarkIndexText-4                             85.3          85.9          +0.70%
